ts,close,mom_equity,mr_equity,vm_equity
2026-01-20 18:45:00+00:00,89488.01,98.65084863318003,98.88899421115299,99.287677633597
2026-01-20 18:46:00+00:00,89490.25,98.65084863318003,98.89146952988042,99.287677633597
2026-01-20 18:47:00+00:00,89486.86,98.65084863318003,98.88772340019919,99.287677633597
2026-01-20 18:48:00+00:00,89555.99,98.65084863318003,98.96411571431834,99.287677633597
2026-01-20 18:49:00+00:00,89595.32,98.65084863318003,99.0075774489387,99.287677633597
2026-01-20 18:50:00+00:00,89590.17,98.65084863318003,99.00188642597162,99.287677633597
2026-01-20 18:51:00+00:00,89617.5,98.65084863318003,99.03208752455221,99.287677633597
2026-01-20 18:52:00+00:00,89577.04,98.65084863318003,98.9873770800381,99.287677633597
2026-01-20 18:53:00+00:00,89526.0,98.65084863318003,98.93097517474892,99.287677633597
2026-01-20 18:54:00+00:00,89420.91,98.65084863318003,98.81484515463059,99.287677633597
2026-01-20 18:55:00+00:00,89481.79,98.65084863318003,98.88212078147237,99.287677633597
2026-01-20 18:56:00+00:00,89523.13,98.65084863318003,98.92780367262941,99.287677633597
2026-01-20 18:57:00+00:00,89512.01,98.65084863318003,98.91551548323254,99.287677633597
2026-01-20 18:58:00+00:00,89501.06,98.65084863318003,98.90341515284625,99.287677633597
2026-01-20 18:59:00+00:00,89501.0,98.65084863318003,98.90334884966606,99.287677633597
2026-01-20 19:00:00+00:00,89585.6,98.65084863318003,98.99683633374649,99.287677633597
2026-01-20 19:01:00+00:00,89535.18,98.65084863318003,98.94111956131934,99.287677633597
2026-01-20 19:02:00+00:00,89576.38,98.65084863318003,98.98664774505592,99.287677633597
2026-01-20 19:03:00+00:00,89600.26,98.65084863318003,99.01303641077506,99.287677633597
2026-01-20 19:04:00+00:00,89545.36,98.65084863318003,98.9523690008931,99.287677633597
2026-01-20 19:05:00+00:00,89656.72,98.65084863318003,99.07542770334221,99.287677633597
2026-01-20 19:06:00+00:00,89742.66,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:07:00+00:00,89746.87,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:08:00+00:00,89760.01,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:09:00+00:00,89722.58,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:10:00+00:00,89698.65,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:11:00+00:00,89681.22,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:12:00+00:00,89588.65,98.65084863318003,99.15552039905332,99.287677633597
2026-01-20 19:13:00+00:00,89453.63,98.65084863318003,99.14064930165804,99.287677633597
2026-01-20 19:14:00+00:00,89575.8,98.65084863318003,99.27604920801382,99.287677633597
2026-01-20 19:15:00+00:00,89561.99,98.65084863318003,99.26074370988192,99.287677633597
2026-01-20 19:16:00+00:00,89621.23,98.65084863318003,99.32639886624203,99.287677633597
2026-01-20 19:17:00+00:00,89686.0,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:18:00+00:00,89637.81,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:19:00+00:00,89665.06,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:20:00+00:00,89684.36,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:21:00+00:00,89626.01,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:22:00+00:00,89589.55,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:23:00+00:00,89524.5,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:24:00+00:00,89583.6,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:25:00+00:00,89547.82,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:26:00+00:00,89570.62,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:27:00+00:00,89526.9,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:28:00+00:00,89520.01,98.65084863318003,99.38327314416993,99.287677633597
2026-01-20 19:29:00+00:00,89483.41,98.65084863318003,99.36836788898658,99.287677633597
2026-01-20 19:30:00+00:00,89352.01,98.65084863318003,99.22245253394352,99.287677633597
2026-01-20 19:31:00+00:00,89359.55,98.65084863318003,99.23082545462104,99.287677633597
2026-01-20 19:32:00+00:00,89488.95,98.65084863318003,99.37451987579738,99.287677633597
2026-01-20 19:33:00+00:00,89411.67,98.65084863318003,99.28870299118758,99.287677633597
2026-01-20 19:34:00+00:00,89411.89,98.65084863318003,99.28894729391291,99.287677633597
2026-01-20 19:35:00+00:00,89316.87,98.65084863318003,99.18343072590537,99.287677633597
2026-01-20 19:36:00+00:00,89319.89,98.65084863318003,99.18678433604411,99.287677633597
2026-01-20 19:37:00+00:00,89420.02,98.65084863318003,99.2979753900811,99.287677633597
2026-01-20 19:38:00+00:00,89373.49,98.65084863318003,99.24630536367204,99.287677633597
2026-01-20 19:39:00+00:00,89318.0,98.65084863318003,99.18468555354006,99.287677633597
2026-01-20 19:40:00+00:00,89358.91,98.65084863318003,99.23011475578369,99.287677633597
2026-01-20 19:41:00+00:00,89514.45,98.65084863318003,99.40283678259796,99.287677633597
2026-01-20 19:42:00+00:00,89532.87,98.65084863318003,99.42329158351039,99.287677633597
2026-01-20 19:43:00+00:00,89471.53,98.65084863318003,99.3551755418183,99.287677633597
2026-01-20 19:44:00+00:00,89444.68,98.65084863318003,99.32535950465767,99.287677633597
2026-01-20 19:45:00+00:00,89387.75,98.65084863318003,99.26214062214169,99.287677633597
2026-01-20 19:46:00+00:00,89484.94,98.65084863318003,99.37006690339462,99.287677633597
2026-01-20 19:47:00+00:00,89426.7,98.65084863318003,99.30539330919592,99.287677633597
2026-01-20 19:48:00+00:00,89474.85,98.65084863318003,99.35886229203705,99.287677633597
2026-01-20 19:49:00+00:00,89472.55,98.65084863318003,99.35630821809033,99.287677633597
2026-01-20 19:50:00+00:00,89542.79,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:51:00+00:00,89532.58,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:52:00+00:00,89666.65,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:53:00+00:00,89751.18,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:54:00+00:00,89780.91,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:55:00+00:00,89768.87,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:56:00+00:00,89730.01,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:57:00+00:00,89731.38,98.65084863318003,99.41939226937696,99.287677633597
2026-01-20 19:58:00+00:00,89722.58,98.63605322519624,99.41939226937696,99.287677633597
2026-01-20 19:59:00+00:00,89725.76,98.63954914171197,99.41939226937696,99.287677633597
2026-01-20 20:00:00+00:00,89612.23,98.51474052472105,99.41939226937696,99.287677633597
2026-01-20 20:01:00+00:00,89600.27,98.50159236071849,99.41939226937696,99.287677633597
2026-01-20 20:02:00+00:00,89538.53,98.4337188117621,99.41939226937696,99.287677633597
2026-01-20 20:03:00+00:00,89606.99,98.50897995788382,99.41939226937696,99.287677633597
2026-01-20 20:04:00+00:00,89580.33,98.4796714250821,99.41939226937696,99.287677633597
2026-01-20 20:05:00+00:00,89514.35,98.40713665410475,99.41939226937696,99.287677633597
2026-01-20 20:06:00+00:00,89480.0,98.36937415966594,99.41939226937696,99.287677633597
2026-01-20 20:07:00+00:00,89497.63,98.38875560877675,99.41939226937696,99.287677633597
2026-01-20 20:08:00+00:00,89526.0,98.41994402121426,99.41939226937696,99.287677633597
