date,close,position,signal,fii_z,dii_z,fii_net_fut,daily_return,cumulative_return
2025-12-23,26177.15,0.0,below_threshold,0.8073,0.264,-133758,0.0,0.995262
2025-12-24,26142.1,0.0,below_threshold,0.5911,-0.7456,-129051,-0.0,0.995262
2025-12-26,26042.3,0.0,below_threshold,-0.1337,-0.3551,-139153,-0.0,0.995262
2025-12-29,25942.1,0.0,below_threshold,-0.5715,-0.0574,-154940,-0.0,0.995262
2025-12-30,25938.85,0.0,below_threshold,-0.1213,-0.7297,-144062,-0.0,0.995262
2025-12-31,26129.6,0.0,below_threshold,0.1081,-0.3533,-145886,0.0,0.995262
2026-01-01,26146.55,0.0,below_threshold,0.2747,-0.2599,-143926,0.0,0.995262
2026-01-02,26328.55,0.6661247266207596,fii_long|flow_confirms|momentum,1.5139,0.026,-130246,-7.59e-05,0.995186
2026-01-05,26250.3,0.0,below_threshold|signal_exit,0.5702,0.0197,-128023,-0.00205589,0.99314
2026-01-06,26178.7,0.0,below_threshold,0.779,0.0687,-127888,-0.0,0.99314
2026-01-07,26140.75,0.0,below_threshold,0.3684,0.1192,-136272,-0.0,0.99314
2026-01-08,25876.85,-0.7195124544053166,fii_short|flow_confirms|momentum,-1.6353,-0.3037,-167347,-8.342e-05,0.993057
2026-01-09,25683.3,-0.7195124544053166,hold,-1.9938,-0.0345,-186063,0.00538171,0.998402
2026-01-12,25790.25,-0.7195124544053166,hold,-1.822,-0.3838,-193409,-0.00299618,0.99541
2026-01-13,25732.3,-0.7195124544053166,hold,-2.1815,-0.2844,-197655,0.00161673,0.99702
2026-01-14,25665.6,-0.7195124544053166,hold,-2.1631,0.3923,-199134,0.00186503,0.998879
2026-01-16,25694.35,-0.7195124544053166,hold,-1.8012,-0.3401,-190375,-0.00080598,0.998074
2026-01-19,25585.5,-0.7195124544053166,hold,-1.8674,-0.3133,-193097,0.0030481,1.001116
2026-01-20,25232.5,-0.7195124544053166,hold,-2.2292,-0.4307,-201567,0.00992702,1.011054
2026-01-21,25157.5,-0.7195124544053166,hold,-2.5126,-0.4303,-204722,0.00213865,1.013217
2026-01-22,25289.9,-0.7195124544053166,hold,-2.4266,-0.1172,-216200,-0.00378668,1.00938
2026-01-23,25048.65,0.0,max_hold,-2.3625,0.0683,-227533,0.00677753,1.016221
2026-01-27,25175.4,-0.6817352356034482,fii_short|flow_confirms,-1.7043,0.2545,-175625,-8.124e-05,1.016138
2026-01-28,25342.75,-0.6817352356034482,hold,-1.8827,0.1716,-174555,-0.00453174,1.011534
2026-01-29,25418.9,-0.6817352356034482,hold,-1.8747,2.1949,-185548,-0.00204848,1.009462
2026-01-30,25320.65,-0.6817352356034482,hold,-2.0964,2.416,-193822,0.00263507,1.012122
2026-02-02,25088.4,-0.6817352356034482,hold,-2.5226,0.8403,-197139,0.00625312,1.01845
2026-02-03,25727.55,0.0,below_threshold|signal_exit,-0.5945,3.4597,-157452,-0.01744733,1.000681
2026-02-04,25776.0,0.0,below_threshold,0.0609,2.7271,-147316,0.0,1.000681
2026-02-05,25642.8,0.0,below_threshold,-0.2342,2.4135,-144022,-0.0,1.000681
2026-02-06,25693.7,0.0,below_threshold,-0.2353,2.3258,-150250,0.0,1.000681
