date,spot,total_gex,gex_z,gex_regime,max_pain,vix,daily_return
2025-12-11,25898.55,65897990.6212698,-0.25422461002401686,positive,25900.0,10.4,0.005340088516189117
2025-12-12,26046.95,-4681957.080990031,-0.8421293909708515,negative,26000.0,10.11,0.0
2025-12-15,26027.3,-73406542.74367356,-1.3560069605212983,negative,26000.0,10.25,0.0
2025-12-16,25860.1,53129830.425646976,-0.2630118144821462,positive,26000.0,10.06,0.0
2025-12-17,25818.55,149744589.57350004,0.47962614668314113,positive,25900.0,9.84,0.002990127648384992
2025-12-18,25815.55,123830103.10196257,0.24188002465192826,positive,25900.0,9.71,0.002990127648384992
2025-12-19,25966.4,-52832272.02400479,-1.1694605556648396,negative,26000.0,9.52,0.002990127648384992
2025-12-22,26172.4,-220299858.8200202,-2.4469870504810074,negative,26100.0,9.68,0.002990127648384992
2025-12-23,26177.15,29643093.356760442,-0.3627165329409521,positive,26150.0,9.38,0.0
2025-12-24,26142.1,128637644.69303381,0.43893693082988505,positive,26150.0,9.19,0.0
2025-12-26,26042.3,316471579.52727914,1.7697684760537111,positive,26050.0,9.15,0.003767868686907326
2025-12-29,25942.1,386212410.0522065,2.0281760725000946,positive,26000.0,9.72,0.003767868686907326
2025-12-30,25938.85,34547740.260740876,-0.43125411082072945,positive,26000.0,9.68,0.0
2025-12-31,26129.6,-47661366.444891125,-0.8909935198693791,negative,26100.0,9.48,0.0
2026-01-01,26146.55,25865720.37338108,-0.3831437178866576,positive,26150.0,9.19,0.0037495790214928807
2026-01-02,26328.55,-203829439.47092652,-1.7904684218207039,negative,26300.0,9.45,0.0037495790214928807
2026-01-05,26250.3,89262786.57286844,0.1199494196787865,positive,26250.0,10.02,0.0
2026-01-06,26178.7,75477816.90030037,0.014811818171761266,positive,26200.0,10.02,0.0
2026-01-07,26140.75,108354791.67266613,0.3867942574900219,positive,26150.0,9.95,0.0
2026-01-08,25876.85,206456196.58259472,1.0462224559277364,positive,26000.0,10.6,0.0
2026-01-09,25683.3,173470315.8077834,0.7744317383536291,positive,25800.0,10.93,0.0
2026-01-12,25790.25,121115360.44069,0.37637400189739223,positive,25800.0,11.37,0.004047377089392746
2026-01-13,25732.3,52828039.113530874,-0.12347273951517451,positive,25900.0,11.2,0.0
2026-01-14,25665.6,82612964.62496163,0.03510469629337613,positive,25800.0,11.32,0.0
2026-01-16,25694.35,170534663.67029738,0.6315996265803825,positive,25800.0,11.37,-0.005663871745319268
2026-01-19,25585.5,75454350.2903134,-0.03147292478085727,positive,25650.0,11.83,-0.005663871745319268
2026-01-20,25232.5,29740738.79625149,-0.329776615502205,positive,25500.0,12.73,-0.005663871745319268
2026-01-21,25157.5,22816186.068361823,-0.41377182074850755,positive,25350.0,13.78,0.0
