date,daily_pnl,n_trades,max_intraday_dd,notional
2025-12-19,0.0,0,0.0,25972.80078125
2025-12-22,0.0,0,0.0,26156.900390625
2025-12-23,0.0,0,0.0,26226.80078125
2025-12-24,0.0,0,0.0,26172.0
2025-12-26,0.0,0,0.0,26108.80078125
2025-12-29,0.0,0,0.0,26072.80078125
2025-12-30,0.0,0,0.0,26067.5
2025-12-31,0.0,0,0.0,26159.30078125
2026-01-01,0.0,0,0.0,26333.0
2026-01-02,0.0,0,0.0,26327.599609375
2026-01-05,0.0,0,0.0,26462.5
2026-01-06,0.0,0,0.0,26371.400390625
2026-01-07,0.0,0,0.0,26216.0
2026-01-08,0.0,0,0.0,26184.0
2026-01-09,0.0,0,0.0,26005.0
2026-01-12,0.0,0,0.0,25735.0
2026-01-13,0.0,0,0.0,25904.099609375
2026-01-14,0.0,0,0.0,25730.0
2026-01-16,0.0,0,0.0,25784.0
2026-01-19,0.0,0,0.0,25595.0
2026-01-20,0.0,0,0.0,25577.599609375
2026-01-21,0.0,0,0.0,25224.0
2026-01-22,0.0,0,0.0,25344.0
2026-01-23,0.0,0,0.0,25335.099609375
2026-01-27,-100.4501953125,1,100.4501953125,25269.099609375
2026-01-28,0.0,0,0.0,25447.900390625
2026-01-29,-32.2998046875,1,32.2998046875,25370.599609375
2026-01-30,0.0,0,0.0,25370.80078125
2026-02-02,0.0,0,0.0,24809.5
2026-02-03,0.0,0,0.0,25840.0
2026-02-04,0.0,0,0.0,25746.599609375
2026-02-05,0.0,0,0.0,25788.5
2026-02-06,0.0,0,0.0,25664.0
