timestamp,equity,cash,gross_notional,unrealized_pnl
2026-01-23T04:35:10.080527268+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:11.081159084+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:12.330472779+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:13.330536370+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:14.330596507+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:15.330604638+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:16.330956775+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:17.580419913+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:18.587975386+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:19.830298627+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:20.830845360+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:21.830852237+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:22.830860620+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:23.830980651+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:25.080532559+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:26.080698076+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:27.080701583+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:28.085076708+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:29.330722098+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:30.580365641+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:31.580509221+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:32.580519136+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:33.588045486+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:34.830448135+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:35.830481230+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:36.830493421+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:37.830560935+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:38.830577951+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:39.830890528+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:41.080447360+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:42.080885823+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:43.080892061+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:44.080914839+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:45.080988059+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:46.330428255+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:47.332230021+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:48.580520053+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:49.580537823+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:50.580545901+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:51.580549631+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:52.580815369+00:00,1000000,1000000,-0,-0
2026-01-23T04:35:53.581012483+00:00,1000000,1000000,-0,-0
